Date,Open,High,Low,Close,Adj Close,Volume
4/19/1993,44.9375,45.0625,44.7187,44.75,27.994701,157000
4/20/1993,44.6875,44.75,44.25,44.5312,27.85783,279500
4/21/1993,44.625,44.625,44.375,44.5,27.838299,67900
4/22/1993,44.3125,44.6875,43.9375,43.9375,27.486412,97700
4/23/1993,43.8437,43.9687,43.6875,43.75,27.369112,106000
4/26/1993,43.7812,43.9375,43.2812,43.4062,27.154043,62600
4/27/1993,43.3437,43.875,43.3437,43.875,27.447325,156800
4/28/1993,43.8125,43.9062,43.7187,43.7812,27.388643,85900
4/29/1993,43.875,43.9687,43.625,43.9687,27.505938,85000
4/30/1993,44.125,44.2812,44.0312,44.0312,27.545034,88500
5/3/1993,44.0937,44.3125,43.9062,44.3125,27.721001,80500
5/4/1993,44.4062,44.625,44.3437,44.4687,27.818727,149100
5/5/1993,44.4687,44.75,44.4687,44.5937,27.896942,109000
5/6/1993,44.5312,44.5625,44.4062,44.4375,27.799206,54700
5/7/1993,44.4687,44.4687,44.2812,44.3437,27.740538,68000
5/10/1993,44.4062,44.6875,44.4062,44.4375,27.799206,113900
5/11/1993,44.4375,44.625,44.3125,44.625,27.916508,42600
5/12/1993,44.4375,44.5937,44.4375,44.5625,27.877411,31000
5/13/1993,44.375,44.375,44,44.0312,27.545034,129100
5/14/1993,44.0312,44.1562,43.9687,44,27.52553,63500
5/17/1993,44.125,44.1562,43.9375,44.1562,27.623222,34000
5/18/1993,44.1875,44.2187,43.9687,44.125,27.603722,105200
5/19/1993,44.125,45.0312,43.8437,45.0312,28.170616,50200
5/20/1993,45.0312,45.1562,44.9375,45.1562,28.248808,98200
5/21/1993,45.1875,45.25,44.7187,44.75,27.994701,221400
5/24/1993,44.8437,45.0937,44.8437,44.9375,28.11199,30500
5/25/1993,45.125,45.125,45.0312,45.0312,28.170616,191800
5/26/1993,45.1562,45.625,45.125,45.5937,28.522503,102400
5/27/1993,45.6562,45.6562,45.375,45.4375,28.424793,53800
5/28/1993,45.4062,45.4062,45,45.2187,28.287909,79100
6/1/1993,45.375,45.8125,45.3125,45.6562,28.5616,28300
6/2/1993,45.5312,45.75,45.3437,45.5937,28.522503,20300
6/3/1993,45.5,45.5,45.3437,45.4375,28.424793,21600
6/4/1993,45.3125,45.3125,45.0937,45.2812,28.327007,32000
6/7/1993,45.375,45.375,45.125,45.125,28.229301,121400
6/8/1993,45,45,44.7187,44.7187,27.975113,104500
6/9/1993,44.875,45.0625,44.8125,44.875,28.072912,43300
6/10/1993,44.8437,44.9375,44.75,44.9062,28.092422,17900
6/11/1993,45.0625,45.1562,44.9062,45.0937,28.209732,647400
6/14/1993,45.1562,45.1875,45.0312,45.0312,28.170616,64200
6/15/1993,45.0937,45.125,44.9375,44.9375,28.11199,142400
6/16/1993,44.9375,45.0312,44.8125,45.0312,28.170616,330900
6/17/1993,45.125,45.1875,45.0312,45.1875,28.268402,37400
6/18/1993,44.8437,44.8437,44.5,44.5,28.035601,58500
6/21/1993,44.625,44.625,44.5312,44.5937,28.09465,29300
6/22/1993,44.6562,44.6562,44.5625,44.625,28.114359,137500
6/23/1993,44.625,44.625,44.2187,44.2187,27.858383,227600
6/24/1993,44.3437,44.8125,44.3437,44.8125,28.232468,243700
6/25/1993,44.7812,44.9062,44.75,44.7812,28.212763,44800
6/28/1993,45,45.2812,44.9375,45.2812,28.527767,439900
6/29/1993,45.2187,45.2187,45,45.0625,28.389977,207500
6/30/1993,45.125,45.2187,45,45.0625,28.389977,437600
7/1/1993,45.125,45.125,44.875,44.9375,28.311226,605700
7/2/1993,44.7812,44.8125,44.5312,44.6875,28.153727,285400
7/6/1993,44.625,44.75,44.1562,44.2187,27.858383,246400
7/7/1993,44.1875,44.4062,44.1875,44.3437,27.937134,343700
7/8/1993,44.375,44.9375,44.3125,44.8437,28.252136,248200
7/9/1993,44.8437,44.9687,44.75,44.9687,28.330894,378200
7/12/1993,44.9062,44.9687,44.8437,44.9375,28.311226,373700
7/13/1993,44.9687,45.0937,44.6562,44.9062,28.291517,389600
7/14/1993,44.9375,45.1875,44.9062,45.0625,28.389977,617300
7/15/1993,45.0312,45.0312,44.7812,44.875,28.271872,443800
7/16/1993,44.9062,44.9375,44.6875,44.75,28.193104,216400
